Reading,Name,PlasticType,Color,MeasurementType,DateTime,nm940,nm1050,nm1200,nm1300,nm1450,nm1550,nm1650,nm1720,nm940_snv,nm1050_snv,nm1200_snv,nm1300_snv,nm1450_snv,nm1550_snv,nm1650_snv,nm1720_snv,nm940_norm,nm1050_norm,nm1200_norm,nm1300_norm,nm1450_norm,nm1550_norm,nm1650_norm,nm1720_norm,SourceFile
73,D01A,LDPE,white,regular,2023-05-23 16:14:42.682397,124700.0,195402.0,399478.0,400550.0,222385.0,244665.0,90786.0,60537.0,-0.7652297401757396,-0.1810423570510375,1.5051705421393209,1.5140281257254948,0.0419093014431187,0.2260016170214384,-1.0454499731435645,-1.295387515959031,-0.2115198933022668,1.4343693039028624,-0.2197720276960766,-0.4772229862488898,-2.107757690198532,0.123690716808267,0.9534594458084724,0.50475313092607,measurement4.csv
74,D01A,LDPE,white,regular,2023-05-23 16:14:43.804611,124057.0,195496.0,402838.0,402460.0,220825.0,241060.0,91338.0,60326.0,-0.7646386418337451,-0.1788035664504893,1.5215032155609471,1.51840342891087,0.0289067405860381,0.1948437322905717,-1.0329505979286615,-1.2872643111355309,-0.3944589329951856,1.2637619316476685,0.387253506110289,-0.0334272927333942,-2.023982268540398,-0.6841881157987796,1.2056264193671369,0.2794147529426692,measurement4.csv
75,D01A,LDPE,white,regular,2023-05-23 16:14:44.992442,123859.0,188701.0,387880.0,394529.0,220718.0,241561.0,89256.0,60614.0,-0.7584339274283728,-0.2091436252438099,1.4781438288572208,1.5344689147463848,0.0620791563644554,0.2386446196202595,-1.051563262218978,-1.2941957046971595,0.4020135919591144,0.0058796904307059,-1.2267443738670205,-0.4652015964718883,-1.555492324102159,0.304537166516283,0.8250084016863524,1.7099994438486277,measurement4.csv
76,D02A,LDPE,transparent,regular,2023-05-23 16:15:05.922544,142641.0,203511.0,529280.0,447208.0,218795.0,229776.0,94713.0,64437.0,-0.6403214630441818,-0.2452404924765613,1.869185870277556,1.336491843393611,-0.1460386269573317,-0.0747656823573146,-0.951401482057898,-1.1479099667778796,0.5259646848515616,-0.1801274564398038,2.1523624663275864,0.2426461784438725,-1.1458732017582849,-1.2752675092088963,-0.2266941304276644,-0.0930110317883746,measurement4.csv
77,D02A,LDPE,transparent,regular,2023-05-23 16:15:07.110675,143530.0,206077.0,532170.0,455711.0,222880.0,230863.0,95966.0,65730.0,-0.6464091221296401,-0.2444545598032438,1.8511626415445668,1.3598034415683262,-0.1364710832053185,-0.0851688101778092,-0.952076329229784,-1.146386178567097,0.474202267480591,-0.1811173362170707,2.1163162888488807,0.3155081613778493,-1.1152412248459262,-1.3675680421170455,-0.2227287510790501,-0.019371363448229,measurement4.csv
78,D02A,LDPE,transparent,regular,2023-05-23 16:15:08.400078,141392.0,202702.0,515961.0,440571.0,216532.0,220467.0,94116.0,62887.0,-0.6344818273091026,-0.2268801148372382,1.8557312837473927,1.3545227842651903,-0.1349353801530777,-0.1087746765390378,-0.9487825703986452,-1.1563994987754818,0.6061869852274491,-0.0562096974739706,2.04084941371328,0.2601739645354874,-1.0858249024198672,-1.4746654853271717,-0.1256481970088684,-0.1648620812463384,measurement4.csv
79,D02A,LDPE,transparent,regular,2023-05-23 16:15:09.583601,137389.0,200058.0,510196.0,441416.0,217026.0,223442.0,91299.0,64089.0,-0.6559236850392042,-0.237436288908399,1.833585174035252,1.3742900982262112,-0.1241283673275934,-0.0812839764233945,-0.9637008011200228,-1.1454021534428491,0.4032468274681131,-0.1275255338648531,2.110128338948559,0.3662072174016424,-1.0731199590599498,-1.3911789787245197,-0.3741094884349765,0.0863515762659876,measurement4.csv
80,D02A,LDPE,transparent,regular,2023-05-23 16:15:10.812952,135930.0,196967.0,500124.0,433144.0,213932.0,219623.0,91165.0,63941.0,-0.6554041088758752,-0.2383633956655034,1.8329836806114543,1.375336893075522,-0.1224485292793121,-0.0835642672926446,-0.9612649396320117,-1.1472753329416296,0.432438866389057,-0.1598405610448246,2.056743588818167,0.3051181389128289,-1.1083904198246606,-1.4577928037448764,-0.2666640057897946,0.1983871962840988,measurement4.csv
81,D03A,LDPE,red,regular,2023-05-23 16:15:33.676088,97202.0,150398.0,264468.0,283549.0,154883.0,182539.0,72576.0,49656.0,-0.7515636176857576,-0.081956002039962,1.3539064822956255,1.5940896335501826,-0.0255008145038428,0.3226206273019343,-1.0615447655708123,-1.3500515433473677,0.5001799333865787,0.6341248421304675,-1.514622198569204,-0.7718866242943657,-1.2379061956145136,-0.0129448595993404,1.0638683304382108,1.3391867721221762,measurement4.csv
82,D03A,LDPE,red,regular,2023-05-23 16:15:35.265139,96499.0,149239.0,262517.0,288483.0,160501.0,183913.0,72742.0,49362.0,-0.764933686129164,-0.1079736384732867,1.303082870407306,1.6265304357738686,0.0323123694277464,0.3239458285805601,-1.0608646655027074,-1.352099514084323,0.3861247453877767,0.5239919496174663,-1.7942448302619,-0.664955516753499,-0.9424217093985666,0.0378545356655222,1.140029859985706,1.3136209657574924,measurement4.csv
