Reading,Name,PlasticType,Color,nm940,nm1050,nm1200,nm1300,nm1450,nm1550,nm1650,nm1720,SourceFile
99,E05C,PP,white,26490.0,40454.0,60659.0,74566.0,32548.0,39351.0,13987.0,9000.0,measurement2.csv
100,E05C,PP,white,25920.0,40375.0,60550.0,74796.0,32441.0,39219.0,13966.0,9082.0,measurement2.csv
101,F01C,PS,white,27559.0,41845.0,80432.0,89150.0,45396.0,49913.0,14839.0,9302.0,measurement2.csv
102,F01C,PS,white,27748.0,41895.0,79530.0,89204.0,45405.0,49431.0,14929.0,9279.0,measurement2.csv
103,F01C,PS,white,27652.0,41926.0,80394.0,88666.0,45625.0,49617.0,15118.0,9329.0,measurement2.csv
104,F01C,PS,white,27593.0,41787.0,80025.0,88423.0,45180.0,49125.0,14836.0,8984.0,measurement2.csv
105,F02C,PS,blue,25446.0,41202.0,90463.0,87126.0,45838.0,56613.0,18923.0,10769.0,measurement2.csv
106,F02C,PS,blue,25498.0,40760.0,90667.0,87526.0,45642.0,55777.0,18645.0,10680.0,measurement2.csv
107,F02C,PS,blue,25732.0,41017.0,90899.0,87725.0,45936.0,56206.0,18755.0,10931.0,measurement2.csv
108,F02C,PS,blue,25165.0,41276.0,90884.0,87588.0,45636.0,56602.0,18951.0,10785.0,measurement2.csv
109,F03C,PS,white,27174.0,40929.0,64009.0,78831.0,36357.0,40411.0,11673.0,7078.0,measurement2.csv
110,F03C,PS,white,27055.0,40500.0,63679.0,78163.0,35775.0,39749.0,11364.0,7274.0,measurement2.csv
111,F03C,PS,white,26963.0,40577.0,63755.0,77896.0,35790.0,39862.0,11760.0,6891.0,measurement2.csv
112,F03C,PS,white,26883.0,40435.0,63439.0,78241.0,35561.0,39985.0,11242.0,7269.0,measurement2.csv
113,F04C,PS,transparent,28191.0,42881.0,87496.0,93875.0,49286.0,53721.0,16134.0,9896.0,measurement2.csv
114,F04C,PS,transparent,28487.0,42934.0,87666.0,94127.0,49431.0,54110.0,16250.0,9850.0,measurement2.csv
115,F04C,PS,transparent,28222.0,43590.0,87384.0,93657.0,48815.0,54162.0,16319.0,9828.0,measurement2.csv
116,F04C,PS,transparent,28175.0,42799.0,87248.0,93726.0,49397.0,54093.0,16298.0,9742.0,measurement2.csv
1,ref,reference,white,26459.0,40513.0,87985.0,90881.0,49231.0,53682.0,19067.0,12801.0,measurement3.csv
2,ref,reference,white,26197.0,40692.0,88426.0,91014.0,50054.0,53743.0,18873.0,12432.0,measurement3.csv
3,ref,reference,white,26671.0,40919.0,87912.0,90065.0,49371.0,53761.0,18749.0,12535.0,measurement3.csv
4,ref,reference,white,26432.0,40596.0,87646.0,89539.0,49080.0,52936.0,18659.0,12472.0,measurement3.csv
5,ref,reference,white,26294.0,40494.0,87185.0,89434.0,48825.0,52662.0,18427.0,12550.0,measurement3.csv
6,ref,reference,white,26300.0,40046.0,87609.0,89438.0,48759.0,53000.0,18563.0,12635.0,measurement3.csv
7,ref,reference,white,26252.0,40216.0,87387.0,89737.0,49313.0,52757.0,18440.0,12578.0,measurement3.csv
8,ref,reference,white,26048.0,40468.0,87908.0,90012.0,49159.0,53234.0,18741.0,12567.0,measurement3.csv
9,6mm pmma,PMMA,transparent,18636.0,30521.0,38979.0,58167.0,19717.0,27042.0,7021.0,4247.0,measurement3.csv
10,6mm pmma,PMMA,transparent,18701.0,30059.0,39201.0,57933.0,19016.0,27511.0,7227.0,4360.0,measurement3.csv
11,6mm pmma,PMMA,transparent,19134.0,30405.0,39084.0,57923.0,19614.0,27325.0,7125.0,4486.0,measurement3.csv
12,6mm pmma,PMMA,transparent,19020.0,30308.0,39027.0,58595.0,19144.0,27019.0,6965.0,4188.0,measurement3.csv
13,6mm pmma,PMMA,transparent,18923.0,29804.0,38621.0,57925.0,19071.0,26869.0,7143.0,4416.0,measurement3.csv
14,6mm pmma,PMMA,transparent,18766.0,30188.0,38944.0,58289.0,19093.0,26784.0,7361.0,4194.0,measurement3.csv
15,5mm pmma,PMMA,transparent,20171.0,32100.0,44614.0,63301.0,22287.0,30200.0,7977.0,4773.0,measurement3.csv
16,5mm pmma,PMMA,transparent,20096.0,32678.0,44259.0,63441.0,22376.0,30334.0,8219.0,4650.0,measurement3.csv
17,5mm pmma,PMMA,transparent,20261.0,32168.0,43900.0,63097.0,22143.0,30039.0,8213.0,4753.0,measurement3.csv
18,5mm pmma,PMMA,transparent,20149.0,32110.0,44383.0,62920.0,22177.0,30234.0,8180.0,4663.0,measurement3.csv
19,5mm pmma,PMMA,transparent,20009.0,32112.0,44567.0,62824.0,22216.0,29709.0,8217.0,4955.0,measurement3.csv
20,4mm pmma,PMMA,transparent,21674.0,35132.0,51768.0,70074.0,26140.0,34318.0,9548.0,5656.0,measurement3.csv
21,4mm pmma,PMMA,transparent,21748.0,35145.0,52452.0,70378.0,26643.0,34501.0,9532.0,5733.0,measurement3.csv
22,4mm pmma,PMMA,transparent,21790.0,35042.0,52246.0,69950.0,26254.0,34043.0,9526.0,5875.0,measurement3.csv
23,4mm pmma,PMMA,transparent,21959.0,34360.0,50926.0,69277.0,26269.0,34251.0,9286.0,5614.0,measurement3.csv
24,3mm pmma,PMMA,transparent,23263.0,36881.0,59246.0,76181.0,30710.0,38965.0,10915.0,6416.0,measurement3.csv
25,3mm pmma,PMMA,transparent,22887.0,36870.0,59543.0,75528.0,30041.0,38944.0,10986.0,6508.0,measurement3.csv
26,3mm pmma,PMMA,transparent,23225.0,36539.0,59451.0,75319.0,30712.0,38790.0,11000.0,6672.0,measurement3.csv
27,3mm pmma,PMMA,transparent,23011.0,37001.0,59322.0,76404.0,30559.0,39023.0,10953.0,6397.0,measurement3.csv
28,2mm pmma,PMMA,transparent,25126.0,39857.0,71520.0,84143.0,37253.0,44419.0,13144.0,8108.0,measurement3.csv
29,2mm pmma,PMMA,transparent,25300.0,39859.0,71086.0,84445.0,37350.0,44182.0,13201.0,7760.0,measurement3.csv
30,2mm pmma,PMMA,transparent,25165.0,39396.0,70498.0,84933.0,36826.0,44463.0,13105.0,8027.0,measurement3.csv
31,2mm pmma,PMMA,transparent,25095.0,39889.0,71438.0,84138.0,37107.0,44623.0,13563.0,8029.0,measurement3.csv
32,4mm ps,PS,transparent,22085.0,35304.0,58665.0,71760.0,34418.0,38970.0,9040.0,5748.0,measurement3.csv
33,4mm ps,PS,transparent,21987.0,35600.0,59273.0,72206.0,34746.0,39036.0,8932.0,5874.0,measurement3.csv
34,4mm ps,PS,transparent,21616.0,35139.0,58548.0,70975.0,34100.0,38836.0,9308.0,5741.0,measurement3.csv
35,4mm ps,PS,transparent,22370.0,35508.0,59361.0,71921.0,34977.0,39055.0,8921.0,5595.0,measurement3.csv
36,2mm ps,PS,transparent,25642.0,40404.0,77027.0,85035.0,43720.0,48257.0,12937.0,7580.0,measurement3.csv
37,2mm ps,PS,transparent,25655.0,40498.0,76720.0,85348.0,43933.0,48173.0,13422.0,7563.0,measurement3.csv
38,2mm ps,PS,transparent,25757.0,40464.0,76966.0,84963.0,43943.0,48439.0,13131.0,7970.0,measurement3.csv
39,2mm ps,PS,transparent,25834.0,40384.0,77724.0,85595.0,44102.0,48331.0,13262.0,7549.0,measurement3.csv
40,2mm ps,PS,transparent,25592.0,40258.0,76823.0,85889.0,43872.0,48213.0,13494.0,7761.0,measurement3.csv
41,2mm ps,PS,transparent,26032.0,40590.0,77187.0,86470.0,44038.0,48413.0,13333.0,7531.0,measurement3.csv
