Reading,Name,PlasticType,Color,MeasurementType,nm940,nm1050,nm1200,nm1300,nm1450,nm1550,nm1650,nm1720,nm940_snv,nm1050_snv,nm1200_snv,nm1300_snv,nm1450_snv,nm1550_snv,nm1650_snv,nm1720_snv,nm940_norm,nm1050_norm,nm1200_norm,nm1300_norm,nm1450_norm,nm1550_norm,nm1650_norm,nm1720_norm,SourceFile
48,3mm ps proxy,PS,transparent,regular,24139.07897,37852.47374,67575.5618,77950.94162,38811.87923,43558.4342,12624.2202,7687.53278,-0.6149694552,-0.02747969623,1.242103984,1.691321084,0.0102538925,0.2152711221,-1.123218037,-1.364995136,0.968768812,1.252014386,-0.1483651085,0.5845753605,0.1043174755,0.2450002407,-1.235277246,-1.964850512,measurement1.csv
49,3mm ps proxy,PS,transparent,regular,24335.11485,38351.22153,67325.79902,76488.99493,38979.04412,43821.67251,12193.86214,7272.95357,-0.6443936384,-0.02386478117,1.251288889,1.669593109,0.01625552637,0.2255331781,-1.150080973,-1.362164081,1.015376117,1.278443936,-0.1533333627,0.6251547472,0.1065999414,0.2560778358,-1.202525299,-1.810786146,measurement1.csv
50,3mm ps proxy,PS,transparent,regular,24790.65495,38270.15279,67286.1283,76791.32193,38848.31969,43861.5896,12490.07143,7380.910662,-0.6448404659,-0.01493666352,1.23740426,1.684331673,0.009163686897,0.217944677,-1.149191,-1.369093407,0.987704932,1.23231361,-0.1909345832,0.6014037702,0.1336304945,0.2761362437,-1.131105035,-1.862638513,measurement1.csv
51,3mm ps proxy,PS,transparent,regular,24631.31161,37555.53683,67600.49114,76379.15578,38727.33207,43401.31463,12113.73741,7506.690744,-0.6400942333,-0.02102358952,1.246076984,1.673941146,0.02092254946,0.2135143375,-1.149131401,-1.367356761,1.014767951,1.240108821,-0.1917359592,0.644329679,0.1227063709,0.2048015147,-1.086789255,-1.791662042,measurement1.csv
52,2mm ps,PS,transparent,regular,25920.0,41026.0,76796.0,83430.0,43873.0,48873.0,14034.0,8333.0,-0.6648507897,-0.06936523674,1.340704817,1.602220186,0.04286482876,0.2399671566,-1.133402444,-1.358138518,0.7982808098,1.189140809,0.0278844831,0.5042492378,0.2331159278,0.4201411508,-1.123040206,-2.049772212,measurement1.csv
53,2mm ps,PS,transparent,regular,25889.0,40540.0,76986.0,84181.0,43689.0,48307.0,14038.0,8203.0,-0.6587880504,-0.08563887685,1.340133752,1.62160316,0.03755044454,0.2182072518,-1.122400832,-1.350666849,0.8123492224,1.109179485,0.07439792782,0.600865668,0.2281121689,0.3555746835,-1.086730561,-2.093748595,measurement1.csv
54,2mm ps,PS,transparent,regular,25920.0,40186.0,76876.0,83861.0,43649.0,48517.0,14040.0,8170.0,-0.6563891432,-0.09675265902,1.342547958,1.616560354,0.03909629266,0.2300615531,-1.122425974,-1.352698382,0.8382732816,1.052215155,0.07646498659,0.5855526089,0.2345697418,0.4033362672,-1.078313955,-2.112098086,measurement1.csv
55,2mm ps,PS,transparent,regular,26481.0,40660.0,77058.0,84365.0,43929.0,48355.0,13749.0,8131.0,-0.6386187577,-0.0851361559,1.335673474,1.620904969,0.04247048951,0.2152410654,-1.13561717,-1.354917914,0.9326068486,1.060152445,0.06392960585,0.5719464525,0.2422753671,0.3306414887,-1.163670796,-2.037881412,measurement1.csv
56,2mm ps,PS,transparent,regular,26030.0,40103.0,76042.0,83297.0,43311.0,48048.0,13718.0,8322.0,-0.6470824521,-0.08939606229,1.334798577,1.622300514,0.03773091408,0.2254492704,-1.134983741,-1.348817021,0.9223583404,1.086042429,0.03314186717,0.5766032925,0.2155627784,0.3700220882,-1.201323247,-2.002407549,measurement1.csv
57,3mm pc,PC,transparent,regular,25107.0,39378.0,71653.0,82082.0,39102.0,43624.0,11402.0,7284.0,-0.6000869608,-0.02328080349,1.281212135,1.7027321,-0.0344361885,0.1483342861,-1.154016495,-1.320458073,0.9350072264,1.183906807,0.1025572387,0.8001383325,-0.003613476763,0.1421760613,-1.407147379,-1.75302481,measurement1.csv
58,3mm pc,PC,transparent,regular,25436.0,39966.0,72524.0,83190.0,39043.0,44033.0,11588.0,7273.0,-0.596062543,-0.01657598758,1.281904623,1.707286839,-0.05338714317,0.145624413,-1.148349523,-1.320440678,0.9406518564,1.198748051,0.1127739815,0.8098577853,-0.06700942385,0.1362375056,-1.360514248,-1.770745508,measurement1.csv
59,3mm pc,PC,transparent,regular,25358.0,39443.0,71888.0,81959.0,38855.0,43603.0,11519.0,6759.0,-0.5871696809,-0.0193505971,1.288628826,1.694628541,-0.04305507856,0.1483545778,-1.145071584,-1.336965005,0.9615219437,1.144150929,0.1360295032,0.7642532263,-0.01465316787,0.152970193,-1.258315179,-1.885957448,measurement1.csv
60,3mm pc,PC,transparent,regular,25469.0,39420.0,72390.0,82901.0,39391.0,43852.0,11278.0,7209.0,-0.5898440588,-0.03269756246,1.283990846,1.70375766,-0.03385570513,0.1442985863,-1.156575184,-1.319074582,0.9674410341,1.123200568,0.1303143535,0.8079877007,0.01118173383,0.1407581976,-1.426575582,-1.754308006,measurement1.csv
61,3mm pc,PC,transparent,regular,25135.0,39415.0,71644.0,81826.0,38949.0,43358.0,11558.0,6979.0,-0.5958958238,-0.0179298954,1.28650035,1.698604628,-0.0367906883,0.1416583158,-1.145408668,-1.330738218,0.9390032619,1.180698392,0.1198176238,0.7808765502,-0.004412199962,0.1248379897,-1.294625092,-1.846196526,measurement1.csv
1,A01C,PET,white,regular,27684.0,41790.0,83570.0,88409.0,43331.0,49554.0,14403.0,9208.0,-0.6269984522019971,-0.1085556278866108,1.4269995401196869,1.6048490245137146,-0.0519187079752249,0.1767974196098203,-1.1151197587192696,-1.3060534374601196,1.0961796969029292,0.9799517061388306,0.4383438941208996,0.7029713211395576,-0.2829341116055882,0.2041220520715821,-1.340691266563383,-1.7979432922048302,measurement2.csv
2,A01C,PET,white,regular,27947.0,41636.0,84092.0,89146.0,43397.0,49066.0,14416.0,9238.0,-0.6172007879976488,-0.1178664645154417,1.4308031269638908,1.61515813250696,-0.0536303812623065,0.1531580094032374,-1.1107717377410735,-1.2996498973576174,1.1527878499686597,0.92140100798562,0.4686844948212988,0.7499813128589575,-0.2851776484244295,0.1070721291399489,-1.3378963558270012,-1.7768527905230522,measurement2.csv
3,A01C,PET,white,regular,28022.0,41727.0,84600.0,89394.0,43602.0,49314.0,14695.0,9309.0,-0.6203594230209157,-0.122024730779067,1.436902905885273,1.611220053977752,-0.0538468724825718,0.153850155031871,-1.1049494590301912,-1.30079262958215,1.1554090602549028,0.9140511004941004,0.4832212562232481,0.7438109558408482,-0.3013724593051942,0.1037548863185147,-1.2851647939649988,-1.8137100058614195,measurement2.csv
4,A01C,PET,white,regular,27813.0,41994.0,84062.0,89009.0,43427.0,49492.0,14901.0,9286.0,-0.6290214195558811,-0.1099552135202715,1.4298570109706683,1.610931725113406,-0.0575032092011806,0.1644935850732691,-1.1016385024366222,-1.3071639764433882,1.1114106000712338,0.9931002803280988,0.4408499567468654,0.7230729104146115,-0.3354113525435181,0.1388342200207319,-1.21080683377256,-1.8610497812654592,measurement2.csv
5,A02C,PET,white,regular,27550.0,42015.0,86188.0,90949.0,45070.0,50757.0,15798.0,9710.0,-0.6605492913293524,-0.1428012742832687,1.438289853056977,1.6087010738766383,-0.0334531794283923,0.1701025048399158,-1.0811904732391744,-1.2990992134933437,0.94050300824483,0.910892815868803,0.5267339903285632,0.8189974756763827,-0.2627682665400341,0.1789533680288982,-1.1150147608976948,-1.998297630709752,measurement2.csv
6,A02C,PET,white,regular,27806.0,42122.0,87328.0,92136.0,45641.0,50888.0,15489.0,9972.0,-0.6564537606256282,-0.1516507183590406,1.4423787821092016,1.611915875376717,-0.0275656453123711,0.1574512283096451,-1.0907691470183047,-1.285306614480219,0.95519845552854,0.8566322428679689,0.5810187023312682,0.8720543854898156,-0.2150367443119264,0.1313625998917626,-1.3336055055575362,-1.847624136239886,measurement2.csv
7,A02C,PET,white,regular,27626.0,41807.0,86233.0,91320.0,45341.0,50775.0,15782.0,9725.0,-0.6585145883133714,-0.1523719265768292,1.4332633523391585,1.6148265510031308,-0.0262377917078538,0.167710394165947,-1.0812459673139785,-1.2974300235962035,0.9591385874888324,0.849591040189028,0.5215954314578893,0.8507538646934777,-0.218543267660064,0.1717425030262266,-1.1351102233728236,-1.9991679358225685,measurement2.csv
8,A02C,PET,white,regular,27642.0,41440.0,86161.0,91032.0,45091.0,50275.0,15458.0,9538.0,-0.6491567009706556,-0.156675458367891,1.439516283220617,1.613373083678514,-0.0263631655180074,0.1586652995966998,-1.084030701541179,-1.295328640098098,0.9915480628443964,0.7947945346987542,0.5599964151550479,0.8512485930068359,-0.1874860283444847,0.1433301000967263,-1.1772451051408872,-1.9761865723163865,measurement2.csv
9,A03C,PET,transparent,regular,28649.0,43140.0,94048.0,95775.0,50448.0,56013.0,18871.0,12471.0,-0.7217891665175658,-0.2302247216655283,1.4966790640309398,1.5552624465621294,0.0176776289644274,0.2064538442429857,-1.0534789837671152,-1.270580111850273,0.8098271900556553,0.4337255573406098,0.9925115187500956,0.829535254728953,-0.3706829164734161,0.403620337171778,-1.1121910067292775,-1.9863459348444084,measurement2.csv
