2025-05-04 17:22:41,970  trial=070  score=0.6988  params={'n_estimators': 600, 'max_depth': 6, 'learning_rate': 0.07679426543846195, 'min_child_weight': 7, 'subsample': 0.6, 'colsample_bytree': 0.8, 'gamma': 0.611623914540688, 'reg_lambda': 4.091632462206069, 'reg_alpha': 0.6045004799258008}
2025-05-04 17:22:43,517  trial=071  score=0.8420  params={'n_estimators': 700, 'max_depth': 5, 'learning_rate': 0.027586335668742395, 'min_child_weight': 1, 'subsample': 0.6, 'colsample_bytree': 0.7, 'gamma': 0.11277266008417038, 'reg_lambda': 0.4714753486705281, 'reg_alpha': 0.4007573022029671}
2025-05-04 17:22:45,508  trial=072  score=0.8613  params={'n_estimators': 700, 'max_depth': 5, 'learning_rate': 0.021242674658189572, 'min_child_weight': 1, 'subsample': 0.6, 'colsample_bytree': 0.7, 'gamma': 0.01570447731691329, 'reg_lambda': 0.7383656893834731, 'reg_alpha': 0.30760010471967064}
2025-05-04 17:22:46,583  trial=073  score=0.8571  params={'n_estimators': 700, 'max_depth': 5, 'learning_rate': 0.04253538649901945, 'min_child_weight': 1, 'subsample': 0.6, 'colsample_bytree': 0.7, 'gamma': 0.42769915091396676, 'reg_lambda': 0.33386126278756945, 'reg_alpha': 0.135884138548852}
2025-05-04 17:22:47,805  trial=074  score=0.8506  params={'n_estimators': 700, 'max_depth': 4, 'learning_rate': 0.05770966300607434, 'min_child_weight': 2, 'subsample': 0.6, 'colsample_bytree': 0.8, 'gamma': 0.1844796467211095, 'reg_lambda': 0.5750203802726135, 'reg_alpha': 0.006141375863952976}
2025-05-04 17:22:48,902  trial=075  score=0.8123  params={'n_estimators': 700, 'max_depth': 6, 'learning_rate': 0.036580567055324746, 'min_child_weight': 1, 'subsample': 0.6, 'colsample_bytree': 0.7, 'gamma': 0.7948751103936329, 'reg_lambda': 0.1384084537371318, 'reg_alpha': 0.4424511172660406}
2025-05-04 17:22:50,416  trial=076  score=0.8080  params={'n_estimators': 800, 'max_depth': 5, 'learning_rate': 0.016391149106435896, 'min_child_weight': 2, 'subsample': 0.7, 'colsample_bytree': 0.7, 'gamma': 0.3063193787024155, 'reg_lambda': 0.46008544925902306, 'reg_alpha': 0.8405603214313325}
2025-05-04 17:22:52,286  trial=077  score=0.8719  params={'n_estimators': 600, 'max_depth': 5, 'learning_rate': 0.030045019199638867, 'min_child_weight': 1, 'subsample': 0.6, 'colsample_bytree': 0.8, 'gamma': 0.004780613958725485, 'reg_lambda': 0.8859632060078306, 'reg_alpha': 0.2845661810906279}
2025-05-04 17:22:53,468  trial=078  score=0.8165  params={'n_estimators': 600, 'max_depth': 6, 'learning_rate': 0.031005031508615437, 'min_child_weight': 2, 'subsample': 0.6, 'colsample_bytree': 0.8, 'gamma': 0.4541820146458616, 'reg_lambda': 0.9207376288641089, 'reg_alpha': 0.26170423131936144}
2025-05-04 17:22:54,182  trial=079  score=0.4701  params={'n_estimators': 500, 'max_depth': 5, 'learning_rate': 0.019179836075261875, 'min_child_weight': 1, 'subsample': 0.6, 'colsample_bytree': 0.8, 'gamma': 4.658728024611787, 'reg_lambda': 1.3232071786292496, 'reg_alpha': 0.6151621228515929}
2025-05-04 17:22:55,496  trial=080  score=0.8291  params={'n_estimators': 600, 'max_depth': 4, 'learning_rate': 0.05174910156642113, 'min_child_weight': 3, 'subsample': 0.6, 'colsample_bytree': 0.9, 'gamma': 0.1452840051173787, 'reg_lambda': 1.1082858337095225, 'reg_alpha': 0.12322123429030966}
2025-05-04 17:22:57,232  trial=081  score=0.8527  params={'n_estimators': 700, 'max_depth': 5, 'learning_rate': 0.0265579264391004, 'min_child_weight': 1, 'subsample': 0.6, 'colsample_bytree': 0.8, 'gamma': 0.08387541575914016, 'reg_lambda': 0.7420530433428175, 'reg_alpha': 0.30808650563512086}
2025-05-04 17:22:59,198  trial=082  score=0.8655  params={'n_estimators': 700, 'max_depth': 5, 'learning_rate': 0.02366569054852122, 'min_child_weight': 1, 'subsample': 0.6, 'colsample_bytree': 0.7, 'gamma': 0.009171716080631831, 'reg_lambda': 0.30460002701656874, 'reg_alpha': 0.43793549289897366}
2025-05-04 17:23:00,666  trial=083  score=0.8570  params={'n_estimators': 700, 'max_depth': 5, 'learning_rate': 0.022329836809887225, 'min_child_weight': 1, 'subsample': 0.6, 'colsample_bytree': 0.7, 'gamma': 0.2870269769155802, 'reg_lambda': 0.3402926680257253, 'reg_alpha': 0.010893379785195334}
2025-05-04 17:23:02,369  trial=084  score=0.8335  params={'n_estimators': 800, 'max_depth': 5, 'learning_rate': 0.020235148922110677, 'min_child_weight': 1, 'subsample': 0.6, 'colsample_bytree': 1.0, 'gamma': 0.4917394086648481, 'reg_lambda': 0.10483908194919642, 'reg_alpha': 0.22758222279431922}
2025-05-04 17:23:04,039  trial=085  score=0.8228  params={'n_estimators': 700, 'max_depth': 6, 'learning_rate': 0.014278197493168204, 'min_child_weight': 2, 'subsample': 0.6, 'colsample_bytree': 0.7, 'gamma': 0.24355232833293475, 'reg_lambda': 0.5903486251470974, 'reg_alpha': 0.5347901665043416}
2025-05-04 17:23:05,932  trial=086  score=0.8890  params={'n_estimators': 800, 'max_depth': 5, 'learning_rate': 0.037297375925036735, 'min_child_weight': 1, 'subsample': 0.6, 'colsample_bytree': 0.7, 'gamma': 0.0021987019455784263, 'reg_lambda': 0.19860128618943984, 'reg_alpha': 0.1455646077984361}
